Epochs,Learning Rate,Training Loss,Training Acc,Validation Loss,Validation Acc,,,,Epochs,Training Loss,Validation Loss,,,,Epochs,Training Acc,Validation Acc
0,0.0001,0.060250134,0.679336863,0.055372706,0.674347853,,,,0,0.060250134,0.055372706,,,,0,0.679336863,0.674347853
1,0.0001,0.055175103,0.687880857,0.055768018,0.683333886,,,,1,0.055175103,0.055768018,,,,1,0.687880857,0.683333886
2,0.0001,0.054505697,0.693956699,0.05476006,0.68761904,,,,2,0.054505697,0.05476006,,,,2,0.693956699,0.68761904
3,0.0001,0.054120534,0.697294653,0.053930169,0.690723163,,,,3,0.054120534,0.053930169,,,,3,0.697294653,0.690723163
4,0.0001,0.053772607,0.698746409,0.053412638,0.690843872,,,,4,0.053772607,0.053412638,,,,4,0.698746409,0.690843872
5,0.0001,0.053244244,0.69936602,0.052975473,0.691732948,,,,5,0.053244244,0.052975473,,,,5,0.69936602,0.691732948
6,0.0001,0.052719821,0.699621603,0.052824586,0.691684654,,,,6,0.052719821,0.052824586,,,,6,0.699621603,0.691684654
7,0.0001,0.05222261,0.700196386,0.052396507,0.692085586,,,,7,0.05222261,0.052396507,,,,7,0.700196386,0.692085586
8,0.0001,0.051749941,0.700607879,0.05146248,0.692791352,,,,8,0.051749941,0.05146248,,,,8,0.700607879,0.692791352
9,0.0001,0.05128332,0.700882348,0.051101925,0.692942531,,,,9,0.05128332,0.051101925,,,,9,0.700882348,0.692942531
10,0.0001,0.050933914,0.700969414,0.050981318,0.692880427,,,,10,0.050933914,0.050981318,,,,10,0.700969414,0.692880427
11,0.0001,0.050575208,0.701188389,0.050396161,0.6932632,,,,11,0.050575208,0.050396161,,,,11,0.701188389,0.6932632
12,0.0001,0.050200083,0.701321911,0.05014493,0.693387522,,,,12,0.050200083,0.05014493,,,,12,0.701321911,0.693387522
13,0.0001,0.049857493,0.701431975,0.049719712,0.69365334,,,,13,0.049857493,0.049719712,,,,13,0.701431975,0.69365334
14,0.0001,0.049605127,0.701522389,0.049370485,0.693610694,,,,14,0.049605127,0.049370485,,,,14,0.701522389,0.693610694
15,0.0001,0.049280685,0.701597691,0.049193544,0.693594938,,,,15,0.049280685,0.049193544,,,,15,0.701597691,0.693594938
16,0.0001,0.049039333,0.701613187,0.048879444,0.693774664,,,,16,0.049039333,0.048879444,,,,16,0.701613187,0.693774664
17,0.0001,0.04881701,0.701683704,0.048781261,0.693646025,,,,17,0.04881701,0.048781261,,,,17,0.701683704,0.693646025
18,0.0001,0.048587821,0.701682363,0.048618086,0.693706957,,,,18,0.048587821,0.048618086,,,,18,0.701682363,0.693706957
19,0.0001,0.048329774,0.701714661,0.048160974,0.693861898,,,,19,0.048329774,0.048160974,,,,19,0.701714661,0.693861898
20,0.0001,0.04815946,0.701748619,0.048068632,0.69369231,,,,20,0.04815946,0.048068632,,,,20,0.701748619,0.69369231
21,0.0001,0.047968516,0.70176404,0.047945852,0.69380937,,,,21,0.047968516,0.047945852,,,,21,0.70176404,0.69380937
22,0.0001,0.047783867,0.701748375,0.047651989,0.69389589,,,,22,0.047783867,0.047651989,,,,22,0.701748375,0.69389589
23,0.0001,0.047668494,0.701720053,0.047636525,0.693627607,,,,23,0.047668494,0.047636525,,,,23,0.701720053,0.693627607
24,0.0001,0.047448722,0.701753518,0.047327803,0.693819859,,,,24,0.047448722,0.047327803,,,,24,0.701753518,0.693819859
25,1.00E-05,0.047273543,0.701809829,0.047189879,0.693957611,,,,25,0.047273543,0.047189879,,,,25,0.701809829,0.693957611
26,1.00E-05,0.047245828,0.701884124,0.047182418,0.693893743,,,,26,0.047245828,0.047182418,,,,26,0.701884124,0.693893743
27,1.00E-05,0.047186359,0.701885501,0.04715063,0.693921729,,,,27,0.047186359,0.04715063,,,,27,0.701885501,0.693921729
28,1.00E-05,0.047148286,0.701876502,0.047116446,0.693998388,,,,28,0.047148286,0.047116446,,,,28,0.701876502,0.693998388
29,1.00E-05,0.04714973,0.701920951,0.047072163,0.693926697,,,,29,0.04714973,0.047072163,,,,29,0.701920951,0.693926697
30,1.00E-05,0.047093257,0.701929175,0.047022842,0.693958853,,,,30,0.047093257,0.047022842,,,,30,0.701929175,0.693958853
31,1.00E-05,0.04705467,0.701912397,0.046999775,0.694022448,,,,31,0.04705467,0.046999775,,,,31,0.701912397,0.694022448
32,1.00E-05,0.047058469,0.701963025,0.047047012,0.693960797,,,,32,0.047058469,0.047047012,,,,32,0.701963025,0.693960797
33,1.00E-05,0.047014051,0.7019573,0.047020278,0.69398077,,,,33,0.047014051,0.047020278,,,,33,0.7019573,0.69398077
34,1.00E-05,0.046982193,0.701937924,0.046900939,0.694040122,,,,34,0.046982193,0.046900939,,,,34,0.701937924,0.694040122
35,1.00E-05,0.046986419,0.701971277,0.046934527,0.693973483,,,,35,0.046986419,0.046934527,,,,35,0.701971277,0.693973483
36,1.00E-05,0.046943896,0.701965515,0.046931803,0.693995327,,,,36,0.046943896,0.046931803,,,,36,0.701965515,0.693995327
37,1.00E-05,0.04691454,0.70194387,0.046877587,0.694055682,,,,37,0.04691454,0.046877587,,,,37,0.70194387,0.694055682
38,1.00E-05,0.046914908,0.70199513,0.046860816,0.693987177,,,,38,0.046914908,0.046860816,,,,38,0.70199513,0.693987177
39,1.00E-05,0.046875466,0.701989575,0.046866517,0.694010798,,,,39,0.046875466,0.046866517,,,,39,0.701989575,0.694010798
40,1.00E-05,0.04684879,0.701956874,0.046825754,0.694067871,,,,40,0.04684879,0.046825754,,,,40,0.701956874,0.694067871
41,1.00E-05,0.046851706,0.702001251,0.046813357,0.693996081,,,,41,0.046851706,0.046813357,,,,41,0.702001251,0.693996081
42,1.00E-05,0.04681415,0.701995543,0.046808329,0.694016859,,,,42,0.04681415,0.046808329,,,,42,0.701995543,0.694016859
43,1.00E-05,0.046779137,0.701973476,0.046722644,0.694074513,,,,43,0.046779137,0.046722644,,,,43,0.701973476,0.694074513
44,1.00E-05,0.046785256,0.702013269,0.046755004,0.69399483,,,,44,0.046785256,0.046755004,,,,44,0.702013269,0.69399483
45,1.00E-05,0.046752068,0.70199738,0.046737754,0.69402742,,,,45,0.046752068,0.046737754,,,,45,0.70199738,0.69402742
46,1.00E-05,0.046719108,0.701977863,0.046664626,0.694078875,,,,46,0.046719108,0.046664626,,,,46,0.701977863,0.694078875
47,1.00E-05,0.046725154,0.702022763,0.046722693,0.693999089,,,,47,0.046725154,0.046722693,,,,47,0.702022763,0.693999089
48,1.00E-05,0.046687567,0.702012665,0.046628068,0.694038387,,,,48,0.046687567,0.046628068,,,,48,0.702012665,0.694038387
49,1.00E-05,0.046655345,0.701990281,0.046609584,0.694086289,,,,49,0.046655345,0.046609584,,,,49,0.701990281,0.694086289
